Make,manual_mean,encoded_value,abs_diff
ACURA,223.65277777777777,223.65277777777777,0.0
ALFA ROMEO,224.9,224.9,0.0
ASTON MARTIN,339.6170212765957,339.6170212765957,0.0
AUDI,250.84615384615384,250.84615384615384,0.0
BENTLEY,362.9347826086956,362.9347826086956,0.0
BMW,254.00759013282732,254.00759013282732,0.0
BUGATTI,522.0,522.0,0.0
BUICK,233.05825242718447,233.05825242718447,0.0
CADILLAC,265.8544303797468,265.8544303797468,0.0
CHEVROLET,264.3469387755102,264.3469387755102,0.0
CHRYSLER,246.17045454545453,246.17045454545453,0.0
DODGE,276.3617886178862,276.3617886178862,0.0
FIAT,192.24657534246575,192.24657534246575,0.0
FORD,260.9888535031847,260.9888535031847,0.0
GENESIS,284.84,284.84,0.0
GMC,299.9176829268293,299.9176829268293,0.0
HONDA,190.2196261682243,190.2196261682243,0.0
HYUNDAI,208.87142857142857,208.87142857142857,0.0
INFINITI,254.0648148148148,254.0648148148148,0.0
JAGUAR,267.9875,267.9875,0.0
JEEP,250.34262948207171,250.34262948207171,0.0
KIA,214.2943722943723,214.2943722943723,0.0
LAMBORGHINI,400.780487804878,400.780487804878,0.0
LAND ROVER,287.6470588235294,287.6470588235294,0.0
LEXUS,241.1123595505618,241.1123595505618,0.0
LINCOLN,267.3020833333333,267.3020833333333,0.0
MASERATI,318.1475409836066,318.1475409836066,0.0
MAZDA,193.67222222222222,193.67222222222222,0.0
MERCEDES-BENZ,277.38663484486875,277.38663484486875,0.0
MINI,196.58823529411765,196.58823529411765,0.0
MITSUBISHI,200.50526315789475,200.50526315789475,0.0
NISSAN,236.86486486486487,236.86486486486487,0.0
PORSCHE,258.9414893617021,258.9414893617021,0.0
RAM,292.4020618556701,292.4020618556701,0.0
ROLLS-ROYCE,388.48,388.48,0.0
SCION,200.45454545454547,200.45454545454547,0.0
SMART,151.42857142857142,151.42857142857142,0.0
SRT,389.0,389.0,0.0
SUBARU,217.61428571428573,217.61428571428573,0.0
TOYOTA,224.42424242424244,224.42424242424244,0.0
VOLKSWAGEN,209.33502538071065,209.33502538071065,0.0
VOLVO,230.05645161290323,230.05645161290323,0.0
